iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,76.881,103.940,0.100,9202.760,9201.700,0.000,1.060,0.000,46.301,1
1,106.127,103.760,0.100,4457.130,4456.098,0.000,1.032,46.885,28.747,1
2,154.760,103.900,0.100,4945.510,4944.460,0.000,1.050,29.240,48.081,1
3,202.195,103.940,0.100,5409.670,5408.605,0.000,1.065,48.633,46.913,1
4,230.204,103.900,0.100,5871.930,5870.867,0.000,1.063,47.440,27.478,1
5,268.409,103.900,0.100,6341.550,6340.479,0.000,1.071,28.016,37.724,1
6,300.595,103.980,0.100,6816.250,6815.202,0.000,1.048,38.186,31.735,1
7,330.860,103.940,0.100,7276.690,7275.618,0.000,1.072,32.192,29.790,1
8,375.293,103.900,0.100,7742.950,7741.900,0.000,1.050,30.259,43.986,1
9,422.639,103.850,0.100,8208.145,8207.088,0.000,1.057,44.432,46.897,1
10,449.478,103.850,0.100,8678.040,8677.003,0.000,1.037,47.352,26.362,1
11,498.282,103.940,0.100,9153.400,9152.350,0.000,1.050,26.854,48.326,1
12,526.008,103.940,0.100,9616.700,9615.624,0.000,1.076,48.783,27.274,1
13,556.249,103.900,0.100,10080.960,10079.948,0.000,1.012,27.726,29.786,1
14,607.301,103.940,0.100,10554.120,10553.058,0.000,1.062,30.247,50.591,1
15,647.550,103.900,0.100,11016.380,11015.353,0.000,1.027,51.046,39.810,1
16,688.452,103.940,0.100,11489.540,11488.488,0.000,1.052,40.249,40.473,1
17,724.419,103.900,0.100,11951.800,11950.724,0.000,1.076,40.901,35.378,1
18,769.426,103.760,0.100,12409.030,12407.986,0.000,1.044,35.981,44.514,1
19,796.629,103.720,0.100,12879.480,12878.444,0.000,1.036,44.994,26.734,1
20,843.678,103.980,0.100,13371.300,13370.264,0.000,1.036,27.204,46.553,1
21,872.488,103.900,0.100,13819.200,13818.171,0.000,1.029,47.048,28.346,1
22,901.569,103.980,0.100,14297.900,14296.875,0.000,1.025,28.811,28.638,1
23,946.539,103.940,0.100,14758.340,14757.303,0.000,1.037,29.081,44.529,1
24,974.129,103.900,0.100,15224.600,15223.579,0.000,1.021,44.976,27.126,1
25,1015.184,104.030,0.100,15705.725,15704.659,0.000,1.066,27.583,40.594,1
26,1044.465,103.940,0.100,16159.465,16158.409,0.000,1.056,41.057,28.778,1
