iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,31.048,103.940,0.000,9198.690,9197.630,0.000,1.060,0.000,7.554,1
1,57.798,103.810,0.000,4457.915,4456.868,0.000,1.047,30.131,4.124,1
2,87.612,103.900,0.000,4939.525,4938.488,0.000,1.037,29.876,4.070,1
3,117.671,103.900,0.000,5402.575,5401.551,0.000,1.024,29.990,4.146,1
4,148.349,103.900,0.000,5870.125,5869.151,0.000,0.974,30.033,4.806,1
5,177.518,103.850,0.000,6333.250,6332.166,0.000,1.084,29.970,3.964,1
6,207.403,103.850,0.000,6803.075,6802.063,0.000,1.012,29.999,3.862,1
7,237.394,103.850,0.000,7270.400,7269.363,0.000,1.037,30.003,3.869,1
8,267.353,103.810,0.000,7734.185,7733.139,0.000,1.046,30.000,3.793,1
9,298.584,103.980,0.000,8218.375,8217.342,0.000,1.033,30.001,5.024,1
10,328.060,103.850,0.000,8666.280,8665.270,0.000,1.010,29.997,4.488,1
11,357.609,103.900,0.000,9144.530,9143.509,0.000,1.021,30.006,4.051,1
12,387.655,103.810,0.000,9601.615,9600.571,0.000,1.044,30.001,4.014,1
13,418.519,103.850,0.000,10076.800,10075.783,0.000,1.017,30.003,4.965,1
14,447.471,103.940,0.000,10550.090,10549.051,0.000,1.039,30.004,3.901,1
15,476.700,103.850,0.000,11005.355,11004.311,0.000,1.044,29.205,3.903,1
16,506.730,103.940,0.000,11485.145,11484.136,0.000,1.009,29.998,3.953,1
17,537.717,103.810,0.000,11936.870,11935.818,0.000,1.052,30.805,4.113,1
18,567.437,103.900,0.000,12418.480,12417.447,0.000,1.033,29.198,4.663,1
19,598.439,103.980,0.000,12888.610,12887.587,0.000,1.023,30.807,4.844,1
20,627.858,103.940,0.000,13348.980,13347.945,0.000,1.035,29.999,3.941,1
21,657.179,103.980,0.000,13822.250,13821.196,0.000,1.054,29.658,3.976,1
22,687.641,103.940,0.000,14284.620,14283.582,0.000,1.038,30.414,3.965,1
23,719.610,103.900,0.000,14750.810,14749.774,0.000,1.036,29.121,6.797,1
24,746.906,103.940,0.000,15223.900,15222.832,0.000,1.068,30.002,4.125,1
25,777.401,103.980,0.000,15693.170,15692.144,0.000,1.026,29.996,4.556,1
26,806.814,103.940,0.000,16155.540,16154.542,0.000,0.998,30.022,4.064,1
27,837.082,103.850,0.000,16617.305,16616.256,0.000,1.049,29.940,4.370,1
28,866.665,103.980,0.000,17100.635,17099.595,0.000,1.040,29.977,3.972,1
29,896.772,103.980,0.000,17562.045,17561.012,0.000,1.033,30.089,3.977,1
30,926.779,103.940,0.000,18026.415,18025.420,0.000,0.995,29.934,4.052,1
31,956.620,103.850,0.000,18488.180,18487.137,0.000,1.043,29.974,3.957,1
32,987.538,103.900,0.000,18964.430,18963.400,0.000,1.030,29.996,4.863,1
33,1016.758,103.850,0.000,19425.055,19424.002,0.000,1.053,30.029,4.062,1
34,1046.526,103.810,0.000,19891.340,19890.285,0.000,1.055,29.977,3.878,1
35,1076.792,103.850,0.000,20364.025,20362.974,0.000,1.051,30.118,4.021,1
36,1106.733,103.900,0.000,20833.775,20832.738,0.000,1.037,29.953,4.005,1
37,1136.765,103.850,0.000,21294.400,21293.387,0.000,1.013,29.963,4.091,1
38,1166.569,103.850,0.000,21764.225,21763.173,0.000,1.052,29.991,3.905,1
39,1196.430,103.900,0.000,22235.975,22234.942,0.000,1.033,29.959,3.789,1
40,1226.859,103.940,0.000,22704.565,22703.505,0.000,1.060,30.100,4.126,1
41,1257.404,103.850,0.000,23162.330,23161.317,0.000,1.013,29.924,4.748,1
42,1287.407,103.850,0.000,23634.155,23633.122,0.000,1.033,30.078,4.669,1
43,1316.617,103.980,0.000,24112.985,24111.964,0.000,1.021,29.921,3.944,1
44,1346.936,103.900,0.000,24567.315,24566.309,0.000,1.006,29.981,4.298,1
45,1377.430,103.940,0.000,25042.405,25041.405,0.000,1.000,30.082,4.700,1
46,1406.513,103.940,0.000,25508.135,25507.120,0.000,1.015,29.927,3.865,1
47,1437.879,103.940,0.000,25975.865,25974.851,0.000,1.014,29.974,5.217,1
48,1467.923,103.850,0.000,26435.630,26434.625,0.000,1.005,30.048,5.147,1
49,1496.993,103.940,0.000,26915.420,26914.380,0.000,1.040,30.025,4.271,1
50,1527.472,103.810,0.000,27367.145,27366.138,0.000,1.007,30.014,4.709,1
51,1556.735,103.760,0.000,27836.365,27835.318,0.000,1.047,29.921,3.995,1
52,1587.056,103.900,0.000,28318.175,28317.131,0.000,1.044,30.086,4.299,1
53,1616.710,103.940,0.000,28782.265,28781.205,0.000,1.060,29.949,3.953,1
54,1647.347,103.980,0.000,29251.535,29250.501,0.000,1.034,29.957,4.669,1
55,1676.806,103.850,0.000,29705.940,29704.928,0.000,1.012,30.049,4.097,1
56,1706.782,103.900,0.000,30184.190,30183.187,0.000,1.003,29.924,4.123,1
57,1738.137,103.980,0.000,30656.320,30655.282,0.000,1.038,29.978,5.508,1
