iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,31.404,1.418000,0.000000,105.641000,108.471666,108.471666,-2.830666,0.000,20.825,0
1,46.811,1.418000,0.000000,52.466000,52.425649,52.425649,0.040351,30.020,6.410,0
2,78.957,1.418000,0.025000,56.838500,56.877940,56.877940,-0.039440,30.026,8.504,0
3,106.495,1.418000,0.222000,66.831700,66.925100,66.925100,-0.093400,29.973,6.106,0
4,137.024,0.976000,0.246000,37.673300,36.980762,36.980762,0.692538,29.998,6.637,0
5,169.435,0.534000,0.296000,26.471900,25.921739,25.921739,0.550161,30.028,9.032,0
6,200.512,-0.349000,0.394000,-17.173200,-18.435837,-18.435837,1.262637,30.017,9.974,0
7,226.733,-0.349000,0.468000,19.469100,20.142516,20.142516,-0.673416,30.058,6.145,0
8,256.246,-1.233000,0.517000,-45.814700,-46.719664,-46.719664,0.904964,30.364,5.125,0
9,286.354,-1.674000,0.517000,-46.487000,-46.239927,-46.239927,-0.247073,30.376,4.951,0
10,318.344,-1.674000,0.542000,-32.152800,-30.842663,-30.842663,-1.310137,31.033,5.922,0
11,347.260,-2.116000,0.444000,-72.531400,-71.939049,-71.939049,-0.592351,29.158,5.695,0
12,376.428,-1.674000,0.394000,-28.529000,-25.989600,-25.989600,-2.539400,29.985,4.907,0
13,407.065,-1.233000,0.394000,-17.350100,-14.652098,-14.652098,-2.698002,30.006,5.535,0
14,436.740,-1.233000,0.296000,-41.277000,-39.352890,-39.352890,-1.924110,30.014,5.202,0
15,467.742,0.534000,0.296000,87.605600,93.183879,93.183879,-5.578279,30.014,6.160,0
16,498.721,0.976000,0.271000,50.391700,53.368224,53.368224,-2.976524,29.971,7.317,0
17,527.261,1.418000,0.222000,66.560900,69.690310,69.690310,-3.129410,30.002,5.789,0
18,558.401,2.301000,0.468000,126.521200,130.636235,130.636235,-4.115035,30.007,6.969,0
19,588.612,2.301000,0.493000,97.090000,99.686952,99.686952,-2.596952,29.989,7.157,0
20,617.907,1.859000,0.517000,70.682200,72.627509,72.627509,-1.945309,30.005,6.471,0
21,647.678,1.418000,0.715000,66.688700,68.875739,68.875739,-2.187039,30.010,6.218,0
22,676.668,0.093000,0.764000,-9.739400,-9.004286,-9.004286,-0.735114,30.005,5.215,0
23,706.558,-0.791000,0.912000,-17.536700,-15.584321,-15.584321,-1.952379,30.041,5.072,0
24,735.683,-1.674000,1.060000,-45.391700,-42.947257,-42.947257,-2.444443,30.071,4.156,0
25,765.973,-2.558000,1.060000,-80.452700,-77.594077,-77.594077,-2.858623,30.070,4.342,0
26,796.512,-2.999000,1.035000,-85.063700,-80.901869,-80.901869,-4.161831,30.804,4.102,0
27,827.142,-3.883000,1.035000,-140.600700,-136.893749,-136.893749,-3.706951,30.011,4.693,0
28,856.573,-3.883000,1.010000,-115.672200,-109.754269,-109.754269,-5.917931,30.008,4.153,0
29,886.511,-3.883000,0.986000,-125.998100,-119.729633,-119.729633,-6.268467,29.992,4.085,0
30,916.455,-3.441000,0.764000,-109.954200,-102.480393,-102.480393,-7.473807,30.001,4.010,0
31,946.620,-2.999000,0.641000,-106.636600,-98.939248,-98.939248,-7.697352,30.012,4.211,0
32,976.440,-2.116000,0.468000,-71.323800,-62.521209,-62.521209,-8.802591,29.996,3.935,0
33,1007.687,-0.791000,0.296000,-18.348700,-8.577193,-8.577193,-9.771507,30.001,5.226,0
34,1043.473,0.093000,0.074000,-14.270800,-5.392353,-5.392353,-8.878447,29.998,11.040,0
35,1069.195,1.418000,-0.049000,45.916300,55.678825,55.678825,-9.762525,30.021,6.762,0
