iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,37.816,-1.232574,-0.049280,-93.457931,-93.479525,-93.479525,0.021594,0.000,7.299,0
1,67.103,-1.232574,-0.073920,-47.909078,-47.940431,-47.940431,0.031353,30.039,6.637,0
2,96.425,-0.790863,-0.271039,-24.541154,-24.493547,-24.493547,-0.047607,29.925,5.936,0
3,124.676,-1.232574,-0.295679,-77.345552,-77.387828,-77.387828,0.042275,29.976,4.180,0
4,155.166,-0.790863,-0.295679,-29.806726,-29.779027,-29.779027,-0.027699,30.611,4.218,0
5,185.918,-0.349152,-0.418879,-20.652342,-20.652935,-20.652935,0.000594,29.360,5.565,0
6,214.286,-0.349152,-0.418879,-38.865949,-38.860637,-38.860637,-0.005313,30.122,3.807,0
7,245.829,-0.349152,-0.443519,-40.596301,-40.593455,-40.593455,-0.002846,31.412,3.909,0
8,275.289,0.092590,-0.492799,-10.161002,-10.167977,-10.167977,0.006974,28.674,4.761,0
9,305.850,0.092590,-0.542079,-29.131815,-29.100074,-29.100074,-0.031741,30.808,4.396,0
10,335.154,0.534302,-0.542079,4.100836,4.059140,4.059140,0.041696,29.985,3.853,0
11,365.325,0.976013,-0.542079,20.621373,20.641739,20.641739,-0.020367,30.001,3.973,0
12,395.247,0.534302,-0.542079,-27.568712,-27.589081,-27.589081,0.020369,29.997,3.921,0
13,426.584,0.976013,-0.542079,24.288744,24.327439,24.327439,-0.038695,29.998,5.267,0
14,455.841,0.976013,-0.542079,9.006129,9.009374,9.009374,-0.003245,30.068,4.338,0
15,485.633,0.976013,-0.517439,12.207537,12.222880,12.222880,-0.015342,29.949,4.193,0
16,516.097,0.976013,-0.517439,14.521906,14.511205,14.511205,0.010701,30.016,4.538,0
17,546.085,0.534302,-0.517439,-15.997275,-16.007613,-16.007613,0.010338,29.997,4.749,0
18,575.890,0.976013,-0.517439,35.862646,35.909766,35.909766,-0.047121,29.979,4.561,0
19,605.843,0.976013,-0.542079,19.766910,19.817905,19.817905,-0.050995,30.017,4.522,0
20,635.300,1.417725,-0.492799,56.765367,56.763090,56.763090,0.002277,30.034,3.924,0
21,665.428,1.417725,-0.394239,45.706415,45.749379,45.749379,-0.042964,30.054,3.983,0
22,696.706,1.417725,-0.246399,53.809128,53.814756,53.814756,-0.005628,30.102,5.198,0
23,727.114,1.859436,-0.197120,91.423885,91.336909,91.336909,0.086976,30.820,4.795,0
